id;url;Perfume;Brand;Country;Gender;RatingValue;RatingCount;releaseYear;PerfumeTop;PerfumeMiddle;PerfumeBase;Perfumer1;Perfumer2;MainAccord1;MainAccord2;MainAccord3;MainAccord4;MainAccord5;caminho_imagem_local;Perfumes-seletos;Longevidade;Sillage;Genero;Genero_Voto;Preco_Voto;Imagem_URL
2;https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2024-90394.html;classique-pride-2024;jean-paul-gaultier;France;women;186;70;20240.0;yuzu, citruses;orange blossom, neroli;musk, blonde woods;unknown;;citrus;white floral;sweet;fresh;musky;downloaded_images\2_classique_pride_2024.jpg;jean-paul-gaultier;N/A;N/A;Feminino;N/A;N/A;N/A
3;https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-2023-81775.html;classique-pride-2023;jean-paul-gaultier;France;unisex;191;285;20230.0;blood orange, yuzu;neroli, orange blossom;musk, white woods;natalie gracia-cetto;quentin bisch;citrus;white floral;sweet;fresh spicy;musky;downloaded_images\3_classique_pride_2023.jpg;jean-paul-gaultier;ERRO;Intimate;Unissex;;;
5;https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-collector-60765.html;le-male-pride-collector;jean-paul-gaultier;France;men;193;632;20200.0;mint, lavender, cardamom, artemisia, bergamot;caraway, cinnamon, orange blossom;vanilla, sandalwood, amber, cedar, tonka bean;francis kurkdjian;;aromatic;warm spicy;fresh spicy;cinnamon;vanilla;downloaded_images\5_le_male_pride_collector.jpg;jean-paul-gaultier;ERRO;Moderate;Masculino;;;
6;https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2023-81774.html;le-male-pride-2023;jean-paul-gaultier;France;men;195;531;20230.0;yuzu, blood orange;neroli, orange blossom;musk, white woods;unknown;;citrus;white floral;sweet;fresh spicy;green;downloaded_images\6_le_male_pride_2023.jpg;jean-paul-gaultier;ERRO;Intimate;Unissex;;;
7;https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-2024-90393.html;le-male-pride-2024;jean-paul-gaultier;France;men;195;285;20240.0;citruses, yuzu;neroli, orange blossom;woodsy notes, musk;unknown;;white floral;citrus;fresh;soapy;;downloaded_images\7_le_male_pride_2024.jpg;jean-paul-gaultier;ERRO;Moderate;Masculino;;;
11;https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-pride-edition-73607.html;le-male-pride-edition;jean-paul-gaultier;France;men;253;662;20220.0;blood orange, yuzu;neroli, orange blossom;musk, white woods;natalie gracia-cetto;quentin bisch;citrus;white floral;fresh spicy;sweet;musky;downloaded_images\11_le_male_pride_edition.jpg;jean-paul-gaultier;ERRO;Intimate;Unissex;;;
18;https://www.fragrantica.com/perfume/o-boticario/glamour-gold-glam-75017.html;glamour-gold-glam;o-boticario;Brazil;women;269;118;20220.0;raspberry, neroli, bergamot;jasmine, orange blossom, tuberose;clearwood, amber, sandalwood, patchouli, cistus incanus;adilson rato;;woody;white floral;fruity;sweet;amber;downloaded_images\18_glamour_gold_glam.jpg;o-boticario;ERRO;Intimate;Feminino;;;
21;https://www.fragrantica.com/perfume/o-boticario/malbec-sport-41727.html;malbec-sport;o-boticario;Brazil;men;272;299;20160.0;nutmeg, cardamom, lime, bergamot, mandarin orange, juniper;lavender, geranium, head space waterfall, sage;leather, patchouli, sandalwood, musk, amber, cedar, moss, vetiver, tonka bean;francisco marano;;leather;fresh spicy;warm spicy;woody;aromatic;downloaded_images\21_malbec_sport.jpg;o-boticario;ERRO;Strong;Masculino;;;
23;https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-pride-edition-73288.html;classique-pride-edition;jean-paul-gaultier;France;women;275;174;20220.0;yuzu, blood orange;neroli, orange blossom;musk, white wood;natalie gracia-cetto;quentin bisch;citrus;white floral;musky;woody;fresh spicy;downloaded_images\23_classique_pride_edition.jpg;jean-paul-gaultier;ERRO;Intimate;Feminino;;;
29;https://www.fragrantica.com/perfume/in-the-box/aventhis-64328.html;aventhis;in-the-box;Brazil;men;283;65;20190.0;bergamot, pineapple, apple, black currant leaf;birch, patchouli, red berries, jasmine;oakmoss, musk, amber, vanilla;unknown;;fruity;mossy;woody;earthy;citrus;downloaded_images\29_aventhis.jpg;in-the-box;ERRO;Strong;Masculino;;;
30;https://www.fragrantica.com/perfume/carolina-herrera/212-heroes-collector-edition-90277.html;212-heroes-collector-edition;carolina-herrera;USA;men;284;31;20230.0;pear, cannabis, lemon zest, ginger;african geranium;leather, woodsy notes;unknown;;leather;woody;aromatic;citrus;cannabis;downloaded_images\30_212_heroes_collector_edition.jpg;carolina-herrera;ERRO;Intimate;Masculino;;;
47;https://www.fragrantica.com/perfume/paco-rabanne/1-million-23908.html;1-million;paco-rabanne;Spain;men;295;149;20140.0;blood orange, grapefruit, mint;cinnamon, spices, rose;leather, amber, white woods, patchouli;unknown;;citrus;warm spicy;cinnamon;leather;woody;downloaded_images\47_1_million.jpg;paco-rabanne;ERRO;Enormous;Masculino;;;
49;https://www.fragrantica.com/perfume/dior/new-look-2024-88939.html;new-look-2024;dior;France;unisex;296;395;20240.0;aldehydes;frankincense;amber;francis kurkdjian;;amber;aldehydic;fresh;fresh spicy;soapy;downloaded_images\49_new_look_2024.jpg;dior;ERRO;Intimate;Unissex;;;
62;https://www.fragrantica.com/perfume/o-boticario/egeo-on-you-55431.html;egeo-on-you;o-boticario;Brazil;unisex;299;136;20190.0;mint, eucalyptus, cardamom, pineapple, bergamot, peach, melon;fenugreek, woody notes, sage, green leaves, lavender, galbanum;milk, vetiver, benzoin, sandalwood, amber, musk;david apel;;aromatic;woody;fresh spicy;green;warm spicy;downloaded_images\62_egeo_on_you.jpg;o-boticario;ERRO;Moderate;Unissex;;;
89;https://www.fragrantica.com/perfume/jean-paul-gaultier/gaultier-divine-le-parfum-93887.html;gaultier-divine-le-parfum;jean-paul-gaultier;France;women;307;30;20240.0;solar notes, lily;frangipani, sea salt;amber, benzoin;unknown;;amber;white floral;floral;aldehydic;tropical;downloaded_images\89_gaultier_divine_le_parfum.jpg;jean-paul-gaultier;ERRO;Intimate;Feminino;;;
101;https://www.fragrantica.com/perfume/o-boticario/men-brahma-83897.html;men-brahma;o-boticario;Brazil;men;309;32;20230.0;eucalyptus, lemon, black pepper, bergamot;elemi, artemisia, sage, cardamom;amber, musk, cedar, patchouli, vetiver;tamara mannina;;aromatic;woody;fresh spicy;citrus;warm spicy;downloaded_images\101_men_brahma.jpg;o-boticario;ERRO;Intimate;Masculino;;;
110;https://www.fragrantica.com/perfume/lattafa-perfumes/muna-89897.html;muna;lattafa-perfumes;UAE;unisex;31;30;20220.0;watermelon, strawberry;cyclamen, magnolia, peony, damask rose;musk, woody notes;unknown;;floral;musky;fresh;rose;woody;downloaded_images\110_muna.jpg;lattafa-perfumes;ERRO;Moderate;Unissex;;;
115;https://www.fragrantica.com/perfume/al-haramain-perfumes/ehsas-26542.html;ehsas;al-haramain-perfumes;UAE;unisex;311;28;;musk, ambergris, woody notes, rose, white flowers, citruses, spicy notes;musk, ambergris, woody notes, aldehydes, lily-of-the-valley, sea notes, geranium, artemisia;musk, ambergris, rose, sandalwood, tonka bean, moss, guaiac wood;unknown;;woody;musky;amber;white floral;powdery;downloaded_images\115_ehsas.jpg;al-haramain-perfumes;ERRO;Enormous;Unissex;;;
117;https://www.fragrantica.com/perfume/paco-rabanne/phantom-legion-71654.html;phantom-legion;paco-rabanne;Spain;men;311;213;20220.0;lemon zest, lavender, lemon;patchouli, smoke, lavender, earthy notes, apple;vanilla, lavender, vetiver;unknown;;citrus;earthy;woody;aromatic;patchouli;downloaded_images\117_phantom_legion.jpg;paco-rabanne;ERRO;Moderate;Masculino;;;
152;https://www.fragrantica.com/perfume/o-boticario/egeo-choc-mint-78498.html;egeo-choc-mint;o-boticario;Brazil;unisex;315;110;20220.0;basil, mint, ginger, bergamot;sage, geranium, lavender, chocolate, davana, cinnamon;patchouli, cedar, cashmeran, tonka bean;unknown;;aromatic;fresh spicy;green;warm spicy;woody;downloaded_images\152_egeo_choc_mint.jpg;o-boticario;ERRO;Moderate;Unissex;;;
172;https://www.fragrantica.com/perfume/dior/bonne-etoile-baby-dior-87597.html;bonne-etoile-baby-dior;dior;France;unisex;318;28;20230.0;green pear;wild rose;white musk;francis kurkdjian;;musky;powdery;Desconhecido;;;downloaded_images\172_bonne_etoile_baby_dior.jpg;dior;ERRO;Intimate;Unissex;;;
211;https://www.fragrantica.com/perfume/jean-paul-gaultier/le-male-xmas-limited-edition-87350.html;le-male-xmas-limited-edition;jean-paul-gaultier;France;men;322;83;20230.0;mint;lavender;vanilla;francis kurkdjian;;lavender;vanilla;aromatic;fresh spicy;green;downloaded_images\211_le_male_xmas_limited_edition.jpg;jean-paul-gaultier;ERRO;Moderate;Masculino;;;
212;https://www.fragrantica.com/perfume/o-boticario/floratta-in-gold-7315.html;floratta-in-gold;o-boticario;Brazil;women;322;969;20010.0;peach, pineapple, orchid, neroli;jasmine, heliotrope, lily-of-the-valley;amber, vanille, sandalwood, musk;sophia grojsman;;fruity;powdery;sweet;vanilla;amber;downloaded_images\212_floratta_in_gold.jpg;o-boticario;ERRO;Moderate;Feminino;;;
213;https://www.fragrantica.com/perfume/prada/prada-paradoxe-virtual-flower-95006.html;prada-paradoxe-virtual-flower;prada;Italy;women;322;36;20240.0;bergamot;jasmine, neroli;musk, ambrette;unknown;;white floral;musky;citrus;floral;powdery;downloaded_images\213_prada_paradoxe_virtual_flower.jpg;prada;ERRO;Moderate;Feminino;;;
221;https://www.fragrantica.com/perfume/thera-cosmeticos/malta-56644.html;malta;thera-cosmeticos;Brazil;men;322;41;20180.0;sea notes, bergamot;rosemary, sage, geranium;incense, patchouli;m�rio torri neto;;aromatic;marine;amber;smoky;warm spicy;downloaded_images\221_malta.jpg;thera-cosmeticos;ERRO;Moderate;Masculino;;;
227;https://www.fragrantica.com/perfume/o-boticario/banho-de-sorte-60981.html;banho-de-sorte;o-boticario;Brazil;women;323;75;20200.0;italian lemon, cardamom, pink pepper, ginger, mandarin orange;clove leaf, geranium, violet;moss, patchouli, virginian cedar, sandalwood, amber;unknown;;warm spicy;woody;citrus;aromatic;mossy;downloaded_images\227_banho_de_sorte.jpg;o-boticario;ERRO;Moderate;Feminino;;;
249;https://www.fragrantica.com/perfume/yves-saint-laurent/black-opium-storm-illusion-60586.html;black-opium-storm-illusion;yves-saint-laurent;France;women;324;29;20200.0;pink pepper, orange blossom, mandarin orange, bergamot, pear;tuberose, licorice, coffee, bitter almond, jasmine sambac;cashmirwood, white musk, vanilla, patchouli, cedar;unknown;;woody;white floral;musky;sweet;soft spicy;downloaded_images\249_black_opium_storm_illusion.jpg;yves-saint-laurent;ERRO;Moderate;Feminino;;;
269;https://www.fragrantica.com/perfume/natura/intensa-26086.html;intensa;natura;Brazil;women;325;28;20130.0;apple, citruses;floral fruity notes;musk;unknown;;fruity;musky;fresh;citrus;sweet;downloaded_images\269_intensa.jpg;natura;ERRO;Moderate;Feminino;;;
270;https://www.fragrantica.com/perfume/o-boticario/xtreme-xplosion-12618.html;xtreme-xplosion;o-boticario;Brazil;men;325;28;20110.0;cardamom, cinnamon, mandarin orange, bergamot;mimosa, jasmine, sage, sandalwood;vanille, musk, amber, virginia cedar;maria tereza belotti;;warm spicy;powdery;aromatic;citrus;cinnamon;downloaded_images\270_xtreme_xplosion.jpg;o-boticario;ERRO;Intimate;Masculino;;;
298;https://www.fragrantica.com/perfume/thera-cosmeticos/minsk-56645.html;minsk;thera-cosmeticos;Brazil;men;326;34;20170.0;bergamot, mandarin orange, orange;rosemary, pepper, palisander rosewood;musk, woodsy notes, incense;m�rio torri neto;;citrus;fresh spicy;aromatic;musky;woody;downloaded_images\298_minsk.jpg;thera-cosmeticos;ERRO;Moderate;Masculino;;;
305;https://www.fragrantica.com/perfume/lattafa-perfumes/oud-mood-elixir-74234.html;oud-mood-elixir;lattafa-perfumes;UAE;unisex;327;138;;saffron, nutmeg, cinnamon;agarwood (oud), suede, sandalwood;amber, vanilla;unknown;;warm spicy;fresh spicy;oud;leather;powdery;downloaded_images\305_oud_mood_elixir.jpg;lattafa-perfumes;ERRO;Moderate;Unissex;;;
359;https://www.fragrantica.com/perfume/lattafa-perfumes/lail-maleki-59133.html;lail-maleki;lattafa-perfumes;UAE;unisex;33;187;20180.0;fruity notes, citruses, spicy notes;jasmine, honey, gardenia, orchid;sandalwood, musk, amber, caramel;unknown;;white floral;sweet;fruity;honey;floral;downloaded_images\359_lail_maleki.jpg;lattafa-perfumes;ERRO;Strong;Unissex;;;
382;https://www.fragrantica.com/perfume/al-haramain-perfumes/amber-oud-private-edition-83046.html;amber-oud-private-edition;al-haramain-perfumes;UAE;unisex;331;29;20230.0;bergamot, green notes;melon, sweet notes, amber, pineapple, cedarwood;resins, myrrh, musk, woody notes, vanilla;unknown;;amber;sweet;woody;balsamic;powdery;downloaded_images\382_amber_oud_private_edition.jpg;al-haramain-perfumes;ERRO;Strong;Unissex;;;
388;https://www.fragrantica.com/perfume/natura/kriska-26045.html;kriska;natura;Brazil;women;331;581;19950.0;peach, plum, apricot, pineapple, blackberry, orange blossom, cardamom, galbanum, osmanthus, cassis, bergamot, green notes;carnation, tuberose, ylang-ylang, rose, lily, gardenia, jasmine, hyacinth, freesia, lily-of-the-valley;vanilla, amber, benzoin, musk, tonka bean, sandalwood, patchouli, cedar, vetiver;unknown;;fruity;white floral;sweet;floral;vanilla;downloaded_images\388_kriska.jpg;natura;ERRO;Moderate;Feminino;;;
390;https://www.fragrantica.com/perfume/o-boticario/quasar-rush-71314.html;quasar-rush;o-boticario;Brazil;men;331;120;20210.0;sicilian lemon, mint, pineapple, rosemary, mandarin orange, basil, cardamom, nutmeg;water notes, lavender, violet leaf, cedar, cashmeran, amber, moss, coriander;musk, amber, balsamic notes, moss, tonka bean;carlos benaim;;aromatic;aquatic;citrus;fresh spicy;green;downloaded_images\390_quasar_rush.jpg;o-boticario;ERRO;Intimate;Masculino;;;
412;https://www.fragrantica.com/perfume/natura/vovo-26181.html;vovo;natura;Brazil;men;332;28;20110.0;ambrette (musk mallow), cardamom, ginger;lily-of-the-valley, sandalwood, cedar;vetiver, musk, amber;ver�nica kato;;musky;woody;aromatic;amber;earthy;downloaded_images\412_vovo.jpg;natura;ERRO;Moderate;Masculino;;;
413;https://www.fragrantica.com/perfume/o-boticario/cuide-se-bem-bubbaloo-tutti-frutti-69781.html;cuide-se-bem-bubbaloo-tutti-frutti;o-boticario;Brazil;women;332;126;20210.0;cotton candy, mandarin orange;bubbaloo, strawberry, peach, jasmine;vanilla, milk, musk, amberwood;unknown;;sweet;fruity;vanilla;powdery;caramel;downloaded_images\413_cuide_se_bem_bubbaloo_tutti_frutti.jpg;o-boticario;ERRO;Intimate;Feminino;;;
451;https://www.fragrantica.com/perfume/thera-cosmeticos/hipos-56625.html;hipos;thera-cosmeticos;Brazil;men;333;27;20170.0;bergamot, citron, bitter orange blossom, neroli;cedar, geranium, sage, blue hyacinth;musk, amber, tonka bean;m�rio torri neto;;citrus;fresh spicy;aromatic;woody;musky;downloaded_images\451_hipos.jpg;thera-cosmeticos;ERRO;Strong;Masculino;;;
454;https://www.fragrantica.com/perfume/armaf/high-street-midnight-27664.html;high-street-midnight;armaf;UAE;women;334;29;;blood orange, citruses;osmanthus, magnolia, honeysuckle;cashmere wood, musk, amber;unknown;;citrus;floral;fruity;musky;amber;downloaded_images\454_high_street_midnight.jpg;armaf;ERRO;Enormous;Feminino;;;
483;https://www.fragrantica.com/perfume/o-boticario/xtreme-7365.html;xtreme;o-boticario;Brazil;men;335;91;;green notes, grapefruit, amalfi lemon, pineapple, bergamot;lavender, rosemary, tarragon, freesia, magnolia, geranium;musk, oakmoss, amber, tonka bean, sandalwood;unknown;;citrus;aromatic;green;fresh spicy;lavender;downloaded_images\483_xtreme.jpg;o-boticario;ERRO;Intimate;Masculino;;;
528;https://www.fragrantica.com/perfume/o-boticario/quasar-graffiti-59224.html;quasar-graffiti;o-boticario;Brazil;men;337;84;20200.0;mint, bergamot, pineapple;woodsy notes, cardamom, cacha�a, lily-of-the-valley, geranium, clove;sandalwood, amber, musk, vanilla, patchouli;gabriela maldonado;;green;aromatic;fresh spicy;woody;citrus;downloaded_images\528_quasar_graffiti.jpg;o-boticario;ERRO;Moderate;Masculino;;;
556;https://www.fragrantica.com/perfume/dior/joy-by-dior-51285.html;joy-by-dior;dior;France;women;338;4346;20180.0;bergamot, mandarin orange;jasmine, grasse rose, peach, cassis;white musk, sandalwood, cedar, patchouli, benzoin;fran�ois demachy;;citrus;woody;powdery;white floral;musky;downloaded_images\556_joy_by_dior.jpg;dior;ERRO;Moderate;Feminino;;;
559;https://www.fragrantica.com/perfume/paco-rabanne/ultraviolet-aurore-borealis-edition-2729.html;ultraviolet-aurore-borealis-edition;paco-rabanne;Spain;women;338;34;20040.0;pepper;osmanthus;amber, vanilla;unknown;;amber;floral;vanilla;fruity;fresh spicy;downloaded_images\559_ultraviolet_aurore_borealis_edition.jpg;paco-rabanne;ERRO;Strong;Feminino;;;
580;https://www.fragrantica.com/perfume/in-the-box/fabulous-secret-62063.html;fabulous-secret;in-the-box;Brazil;unisex;338;26;20200.0;lavender, clary sage;leather, bitter almond, vanilla, orris root;leather, tonka bean, amber, cashmeran, white wood;unknown;;leather;almond;amber;aromatic;vanilla;downloaded_images\580_fabulous_secret.jpg;in-the-box;ERRO;Strong;Unissex;;;
608;https://www.fragrantica.com/perfume/paco-rabanne/genius-me-55185.html;genius-me;paco-rabanne;Spain;unisex;339;115;20190.0;orange peel;rosemary;metallic notes, moss;dominique ropion;;citrus;fresh spicy;metallic;aromatic;woody;downloaded_images\608_genius-me.jpg;paco-rabanne;ERRO;Moderate;Unissex;;;
667;https://www.fragrantica.com/perfume/paco-rabanne/blossom-me-68724.html;blossom-me;paco-rabanne;Spain;unisex;341;51;20210.0;green mandarin;orange blossom, herbal notes, mint;vetiver;marie salamagne;;citrus;green;white floral;aromatic;sweet;downloaded_images\667_blossom-me.jpg;paco-rabanne;ERRO;Moderate;Unissex;;;
710;https://www.fragrantica.com/perfume/o-boticario/egeo-dolce-8621.html;egeo-dolce;o-boticario;Brazil;women;342;1990;20070.0;sweet notes, raspberry, nectarine;cotton candy, anise, violet, honeysuckle;vanille, tonka bean, amber, musk, sandalwood;frank voelkl;;sweet;vanilla;fruity;powdery;caramel;downloaded_images\710_egeo-dolce.jpg;o-boticario;ERRO;Moderate;Feminino;;;
746;https://www.fragrantica.com/perfume/carolina-herrera/212-surf-for-her-23621.html;212-surf-for-her;carolina-herrera;USA;women;343;128;20140.0;sea notes;woodsy notes;musk;unknown;;marine;aromatic;musky;salty;woody;downloaded_images\746_212_surf_for_her.jpg;carolina-herrera;ERRO;Moderate;Feminino;;;
754;https://www.fragrantica.com/perfume/o-boticario/nativa-spa-ameixa-senses-19235.html;nativa-spa-ameixa-senses;o-boticario;Brazil;women;343;67;20120.0;plum, orange, bergamot, pear;magnolia, jasmine, cedar, lily-of-the-valley;vanilla, amber, musk, sandalwood;cl�udio de deus;;fruity;sweet;vanilla;citrus;floral;downloaded_images\754_nativa_spa_ameixa_senses.jpg;o-boticario;ERRO;Intimate;Feminino;;;
769;https://www.fragrantica.com/perfume/amyi/amyi-ii-60769.html;amyi-ii;amyi;Brazil;women;343;37;20190.0;pink pepper, bergamot, mandarin orange;angelica, iris, raspberry;patchouli, vanilla, amber;sandra casagrande;;powdery;amber;musky;iris;citrus;downloaded_images\769_amyi_ii.jpg;amyi;ERRO;Moderate;Feminino;;;
806;https://www.fragrantica.com/perfume/al-haramain-perfumes/haramain-signature-blue-63934.html;haramain-signature-blue;al-haramain-perfumes;UAE;men;344;27;20200.0;lemon, green leaves, bergamot, grapefruit, bitter orange;geranium;cedar, vetiver, patchouli;unknown;;citrus;green;aromatic;woody;fresh spicy;downloaded_images\806_haramain_signature_blue.jpg;al-haramain-perfumes;ERRO;Moderate;Masculino;;;
815;https://www.fragrantica.com/perfume/jean-paul-gaultier/classique-l-eau-d-ete-2007-944.html;classique-l-eau-d-ete-2007;jean-paul-gaultier;France;women;344;41;20070.0;orange blossom, sicilian lemon, clementine, rose;jasmine, white iris, ylang-ylang, lily-of-the-valley;musk, vanilla, amber;unknown;;white floral;citrus;sweet;powdery;rose;downloaded_images\815_classique_l_eau_d_ete_2007.jpg;jean-paul-gaultier;ERRO;Moderate;Feminino;;;
821;https://www.fragrantica.com/perfume/natura/horus-12557.html;horus;natura;Brazil;men;344;238;19840.0;pine needles, bergamot, galbanum;vetiver, lavender, jasmine;leather, vetiver, musk;antonio amador;;woody;aromatic;green;leather;conifer;downloaded_images\821_horus.jpg;natura;ERRO;Moderate;Masculino;;;
830;https://www.fragrantica.com/perfume/amyi/amyi-iv-60771.html;amyi-iv;amyi;Brazil;women;344;39;20190.0;raspberry, bergamot, sicilian lemon;violet, rose, orange blossom;musk, vanilla, sandalwood;cleber bozzi;;violet;powdery;fruity;sweet;floral;downloaded_images\830_amyi_iv.jpg;amyi;ERRO;Moderate;Feminino;;;
879;https://www.fragrantica.com/perfume/lattafa-perfumes/ajwad-pink-to-pink-89766.html;ajwad-pink-to-pink;lattafa-perfumes;UAE;unisex;345;117;20240.0;guava, pink grapefruit, litchi, pink pepper;rose, peony, magnolia;leather, musk, ambergris, vanilla, moss;unknown;;fruity;leather;tropical;citrus;animalic;downloaded_images\879_ajwad_pink_to_pink.jpg;lattafa-perfumes;ERRO;Strong;Unissex;;;
885;https://www.fragrantica.com/perfume/paco-rabanne/fabulous-me-55186.html;fabulous-me;paco-rabanne;Spain;unisex;345;159;20190.0;pumpkin;rhubarb;sandalwood;alienor massenet;;woody;powdery;fruity;sweet;warm spicy;downloaded_images\885_fabulous_me.jpg;paco-rabanne;ERRO;Moderate;Unissex;;;
887;https://www.fragrantica.com/perfume/yves-saint-laurent/y-elixir-90024.html;y-elixir;yves-saint-laurent;France;men;345;788;20240.0;lavender;geranium;frankincense, oud;dominique ropion;;fresh spicy;aromatic;lavender;amber;herbal;downloaded_images\887_y_elixir.jpg;yves-saint-laurent;ERRO;Moderate;Masculino;;;
939;https://www.fragrantica.com/perfume/prada/prada-candy-sugar-pop-48030.html;prada-candy-sugar-pop;prada;Italy;women;346;591;20180.0;red apple, citruses, bergamot leaf, bergamot;white peach, floral notes;vanilla, caramel;daniela (roche) andrier;;vanilla;caramel;sweet;fruity;citrus;downloaded_images\939_prada_candy_sugar_pop.jpg;prada;ERRO;Strong;Feminino;;;
983;https://www.fragrantica.com/perfume/giorgio-armani/emporio-armani-in-love-with-you-freeze-58809.html;emporio-armani-in-love-with-you-freeze;giorgio-armani;Italy;women;347;436;20200.0;mandarin orange, cherry, bergamot, pear;peony, jasmine sambac, lily-of-the-valley;patchouli, woody notes, white musk, vetiver;unknown;;woody;patchouli;citrus;floral;fresh;downloaded_images\983_emporio_armani_in_love_with_you_freeze.jpg;giorgio-armani;ERRO;Moderate;Feminino;;;
988;https://www.fragrantica.com/perfume/prada/infusion-de-figue-80294.html;infusion-de-figue;prada;Italy;unisex;347;188;20230.0;mandarin orange;fig;galbanum, mastic or lentisque;daniela (roche) andrier;;fruity;green;aromatic;balsamic;sweet;downloaded_images\988_infusion_de_figue.jpg;prada;ERRO;Moderate;Unissex;;;
1031;https://www.fragrantica.com/perfume/armaf/club-de-nuit-urban-man-47394.html;club-de-nuit-urban-man;armaf;UAE;men;348;161;20170.0;bergamot, mint, grapefruit, cardamom;lavender, cedar, nutmeg, ginger;patchouli, vetiver, sandalwood, oakmoss;unknown;;woody;aromatic;fresh spicy;warm spicy;citrus;downloaded_images\1031_club_de_nuit_urban_man.jpg;armaf;ERRO;Moderate;Masculino;;;
1037;https://www.fragrantica.com/perfume/bvlgari/omnia-by-mary-katrantzou-66356.html;omnia-by-mary-katrantzou;bvlgari;Italy;women;348;192;20210.0;fig leaf, mandarin orange;orange blossom, gardenia;musk, white woods;alberto morillas;;white floral;citrus;green;woody;musky;downloaded_images\1037_omnia_by_mary_katrantzou.jpg;bvlgari;ERRO;Moderate;Feminino;;;
1046;https://www.fragrantica.com/perfume/o-boticario/uomini-infinite-74635.html;uomini-infinite;o-boticario;Brazil;men;348;69;20220.0;cardamom, metallic notes, sicilian lemon, orange, bergamot, pineapple, mandarin orange;leather, lavender, jasmine;vetiver, sandalwood, oakmoss, cedar, patchouli, musk, labdanum, vanilla, amber;unknown;;woody;citrus;aromatic;warm spicy;earthy;downloaded_images\1046_uomini_infinite.jpg;o-boticario;ERRO;Moderate;Masculino;;;
1052;https://www.fragrantica.com/perfume/granado/vetiver-56498.html;vetiver;granado;Brazil;unisex;348;80;20190.0;violet, black pepper, lily;vetiver, tiare flower, peony;vetiver, cedar, amber;unknown;;woody;aromatic;earthy;violet;powdery;downloaded_images\1052_vetiver.jpg;granado;ERRO;Intimate;Unissex;;;
1115;https://www.fragrantica.com/perfume/o-boticario/free-19268.html;free;o-boticario;Brazil;unisex;349;333;19810.0;bergamot, lemon, lavender, juniper, orange;pine tree, carnation, sage, artemisia, geranium, jasmine;cedar, oakmoss, vetiver, musk;georges veyret;;aromatic;woody;citrus;fresh spicy;herbal;downloaded_images\1115_free.jpg;o-boticario;ERRO;Moderate;Unissex;;;
1116;https://www.fragrantica.com/perfume/paco-rabanne/crazy-me-55184.html;crazy-me;paco-rabanne;Spain;unisex;349;113;20190.0;wasabi;mimosa;sandalwood, spices;alienor massenet;;yellow floral;powdery;woody;fresh spicy;warm spicy;downloaded_images\1116_crazy_me.jpg;paco-rabanne;ERRO;Moderate;Unissex;;;
1117;https://www.fragrantica.com/perfume/paco-rabanne/phantom-68226.html;phantom;paco-rabanne;Spain;men;349;4562;20210.0;lavender, lemon zest, amalfi lemon;lavender, earthy notes, apple, smoke, patchouli;vanilla, lavender, vetiver;unknown;;citrus;vanilla;lavender;earthy;aromatic;downloaded_images\1117_phantom.jpg;paco-rabanne;ERRO;Moderate;Masculino;;;
1126;https://www.fragrantica.com/perfume/granado/eucalipto-50935.html;eucalipto;granado;Brazil;men;349;51;20180.0;eucalyptus, lime, bergamot;lavender, geranium, jasmine;moss, patchouli, amber;unknown;;woody;camphor;aromatic;fresh spicy;earthy;downloaded_images\1126_eucalipto.jpg;granado;ERRO;Moderate;Masculino;;;
1168;https://www.fragrantica.com/perfume/armaf/vanity-femme-elegance-27685.html;vanity-femme-elegance;armaf;UAE;women;35;40;;aldehydes, raspberry, black currant, peach;gardenia, tuberose, ylang-ylang, peony, rose;sandalwood, vanilla, cashmere wood, amber, cedar, musk;unknown;;woody;white floral;fruity;tuberose;sweet;downloaded_images\1168_vanity_femme_elegance.jpg;armaf;ERRO;Strong;Feminino;;;
1186;https://www.fragrantica.com/perfume/giorgio-armani/rose-milano-soie-de-nacre-79083.html;rose-milano-soie-de-nacre;giorgio-armani;Italy;unisex;35;32;20230.0;lemon, bergamot;damask rose, jasmine;oakmoss, patchouli;unknown;;citrus;rose;white floral;floral;mossy;downloaded_images\1186_rose_milano_soie_de_nacre.jpg;giorgio-armani;ERRO;Moderate;Unissex;;;
1197;https://www.fragrantica.com/perfume/yves-saint-laurent/mon-paris-floral-eau-de-parfum-in-love-collector-59337.html;mon-paris-floral-eau-de-parfum-in-love-collector;yves-saint-laurent;France;women;35;32;20200.0;peach, pear, raspberry, bergamot;magnolia, peony, orange blossom, jasmine sambac, datura;musk, patchouli, cashmeran;olivier cresp;;floral;fruity;white floral;musky;citrus;downloaded_images\1197_mon_paris_floral_eau_de_parfum_in_love_c.jpg;yves-saint-laurent;ERRO;Moderate;Feminino;;;
