id;url;Perfume;Brand;Country;Gender;RatingValue;RatingCount;releaseYear;PerfumeTop;PerfumeMiddle;PerfumeBase;Perfumer1;Perfumer2;MainAccord1;MainAccord2;MainAccord3;MainAccord4;MainAccord5;caminho_imagem_local;Perfumes-seletos;Longevidade;Sillage;Genero;Genero_Voto;Preco_Voto;Imagem_URL
16886;https://www.fragrantica.com/perfume/o-boticario/make-b-barroco-tropical-37998.html;make-b-barroco-tropical;o-boticario;Brazil;women;411;99;20140.0;sicilian bergamot, peach;rose, jasmine, freesia;patchouli, vetiver, natural musk, vanilla;rafael marano;;patchouli;woody;rose;earthy;warm spicy;downloaded_images\16886_make_b_barroco_tropical.jpg;o-boticario;Moderate;Moderate;Feminino;;;
16887;https://www.fragrantica.com/perfume/o-boticario/malbec-gran-reserva-2004-18984.html;malbec-gran-reserva-2004;o-boticario;Brazil;men;411;75;20120.0;olibanum, cassis, bergamot, cardamom, lime, mandarin orange, green leaves, violet leaf, lemon;grapes, fruity notes, cedar, patchouli;chocolate, benzoin, amber, musk, moss;napole�o bastos;;fruity;amber;woody;warm spicy;sweet;downloaded_images\16887_malbec_gran_reserva_2004.jpg;o-boticario;Long Lasting;Strong;Masculino;;;
16888;https://www.fragrantica.com/perfume/o-boticario/ops-fashion-7340.html;ops-fashion;o-boticario;Brazil;women;411;586;;african orange flower, bergamot, coriander;tincture of rose, geranium, lily-of-the-valley, iris;vanille, tonka bean, musk, virginia cedar, sandalwood, patchouli, amber;unknown;;white floral;woody;citrus;aromatic;rose;downloaded_images\16888_ops_fashion.jpg;o-boticario;Moderate;Moderate;Feminino;;;
16889;https://www.fragrantica.com/perfume/o-boticario/thaty-princess-happy-18992.html;thaty-princess-happy;o-boticario;Brazil;women;411;45;20120.0;lemon, green apple, grapefruit, red berries;sweet notes, amaryllis, geranium, jasmine;passion flower, freesia, lily-of-the-valley, cedar;unknown;;citrus;fruity;sweet;floral;fresh;downloaded_images\16889_thaty_princess_happy.jpg;o-boticario;Moderate;Moderate;Feminino;;;
16890;https://www.fragrantica.com/perfume/o-boticario/zaad-3990.html;zaad;o-boticario;Brazil;men;411;795;20060.0;green notes, coriander, bergamot, juniper berries;indonesian nutmeg, cedar, carnation, orchid, patchouli;serbian oakmoss, musk, australian sandalwood, amber;thierry bessard;;aromatic;woody;fresh spicy;green;citrus;downloaded_images\16890_zaad.jpg;o-boticario;Moderate;Moderate;Masculino;;;
16892;https://www.fragrantica.com/perfume/paco-rabanne/ultraviolet-liquid-crystal-man-2726.html;ultraviolet-liquid-crystal-man;paco-rabanne;Spain;men;411;35;20030.0;mint, mandarin orange;sea notes, coriander;amber, oakmoss;unknown;;aromatic;green;marine;citrus;amber;downloaded_images\16892_ultraviolet_liquid_crystal_man.jpg;paco-rabanne;Moderate;Moderate;Masculino;;;
16896;https://www.fragrantica.com/perfume/prada/infusion-d-iris-1795.html;infusion-d-iris;prada;Italy;women;411;10116;20070.0;african orange flower, neroli, orange, mandarin orange;iris, galbanum, mastic or lentisque;incense, virginia cedar, benzoin, vetiver;daniela (roche) andrier;;iris;woody;amber;powdery;citrus;downloaded_images\16896_infusion_d_iris.jpg;prada;Long Lasting;Moderate;Feminino;;;
16897;https://www.fragrantica.com/perfume/prada/prada-la-femme-absolu-51636.html;prada-la-femme-absolu;prada;Italy;women;411;132;20180.0;peach, blood orange, chili pepper;broom, orange blossom, neroli, immortelle;tolu balsam, vanilla;daniela (roche) andrier;;sweet;powdery;amber;warm spicy;white floral;downloaded_images\16897_prada_la_femme_absolu.jpg;prada;Moderate;Moderate;Feminino;;;
16922;https://www.fragrantica.com/perfume/yves-saint-laurent/jazz-2539.html;jazz;yves-saint-laurent;France;men;411;1567;19880.0;lavender, nutmeg, coriander, artemisia, anise, bergamot, basil, cinnamon, cardamom;geranium, carnation, jasmine, iris;oakmoss, tobacco, leather, sandalwood, cedar, musk, amber, tonka bean;jean-francois latty;;aromatic;fresh spicy;herbal;warm spicy;lavender;downloaded_images\16922_jazz.jpg;yves-saint-laurent;Long Lasting;Moderate;Masculino;;;
16923;https://www.fragrantica.com/perfume/yves-saint-laurent/mon-paris-dazzling-lights-collector-47462.html;mon-paris-dazzling-lights-collector;yves-saint-laurent;France;women;411;36;20170.0;strawberry, raspberry, pear, bergamot, orange, calone, mandarin orange;jasmine sambac, chinese jasmine, datura, peony, orange blossom;patchouli, indonesian patchouli leaf, musk, ambroxan, vanilla, moss, cedar;unknown;;fruity;sweet;white floral;citrus;woody;downloaded_images\16923_mon_paris_dazzling_lights_collector.jpg;yves-saint-laurent;Moderate;Strong;Feminino;;;
16924;https://www.fragrantica.com/perfume/yves-saint-laurent/paris-premieres-roses-2014-24140.html;paris-premieres-roses-2014;yves-saint-laurent;France;women;411;87;20140.0;wild rose, violet, neroli;damask rose, peony, lily-of-the-valley;rose, white musk, sandalwood;dominique ropion;;rose;floral;fresh;powdery;white floral;downloaded_images\16924_paris_premieres_roses_2014.jpg;yves-saint-laurent;Moderate;Intimate;Feminino;;;
16943;https://www.fragrantica.com/perfume/granado/folia-83314.html;folia;granado;Brazil;unisex;411;74;20230.0;nutmeg, tangerine, bergamot;licorice, osmanthus, orange blossom;vanilla, musk, sandalwood;christian alori;;citrus;soft spicy;powdery;vanilla;fresh spicy;downloaded_images\16943_folia.jpg;granado;Moderate;Moderate;Unissex;;;
16999;https://www.fragrantica.com/perfume/in-the-box/maxximus-ix-71643.html;maxximus-ix;in-the-box;Brazil;unisex;411;114;20220.0;mint, lavender, artemisia, tangerine;patchouli, caramel, cacao, cypress, tonka bean, geranium;vetiver, cedar, amberwood, sandalwood, musk;unknown;;woody;aromatic;green;fresh spicy;warm spicy;downloaded_images\16999_maxximus_ix.jpg;in-the-box;Eternal;Enormous;Unissex;;;
17034;https://www.fragrantica.com/perfume/nuancielo/caribbean-69119.html;caribbean;nuancielo;Brazil;unisex;411;114;20210.0;lime, coconut, white bergamot, italian tangerine;ginger, indian jasmine, ylang-ylang, hibiscus;sugar cane, musk, white rum;unknown;;citrus;sweet;coconut;vanilla;musky;downloaded_images\17034_caribbean.jpg;nuancielo;Moderate;Moderate;Unissex;;;
17056;https://www.fragrantica.com/perfume/thera-cosmeticos/doha-57213.html;doha;thera-cosmeticos;Brazil;women;411;28;20180.0;ylang-ylang, bergamot, green accord, peach, lemon;iris, violet, jasmine, lily, rose, narcissus;sandalowood, iris, vanilla, tonka bean, amber, musk;m�rio torri neto;;powdery;woody;vanilla;yellow floral;sweet;downloaded_images\17056_doha.jpg;thera-cosmeticos;Eternal;Moderate;Feminino;;;
17117;https://www.fragrantica.com/perfume/al-haramain-perfumes/atifa-blanche-26538.html;atifa-blanche;al-haramain-perfumes;UAE;women;411;46;;citruses, sea notes, lime;violet, rose, geranium, vanilla, spicy notes;lily, amber, cedar;christian carbonnel;;citrus;white floral;rose;fresh spicy;powdery;downloaded_images\17117_atifa_blanche.jpg;al-haramain-perfumes;Eternal;Moderate;Feminino;;;
17121;https://www.fragrantica.com/perfume/al-haramain-perfumes/black-oudh-36596.html;black-oudh;al-haramain-perfumes;UAE;unisex;412;113;;musk;cedar, herbal notes;amber, patchouli, vanilla;unknown;;woody;powdery;musky;amber;patchouli;downloaded_images\17121_black_oudh.jpg;al-haramain-perfumes;Moderate;Moderate;Unissex;;;
17122;https://www.fragrantica.com/perfume/armaf/ventana-pour-homme-50265.html;ventana-pour-homme;armaf;UAE;men;412;754;20170.0;grapefruit, lemon, mandarin orange;lavender, geranium, vetiver, patchouli;cedar, amber, precious woods;unknown;;citrus;aromatic;woody;fresh spicy;lavender;downloaded_images\17122_ventana_pour_homme.jpg;armaf;Long Lasting;Moderate;Masculino;;;
17123;https://www.fragrantica.com/perfume/armaf/beau-acute-45121.html;beau-acute;armaf;UAE;men;412;96;;bergamot, petitgrain, orange, lemon;jasmine, lavender, rose, sage, rosemary;musk, vetiver, cedar, sandalwood;unknown;;aromatic;citrus;woody;fresh spicy;musky;downloaded_images\17123_beau_acute.jpg;armaf;Moderate;Moderate;Masculino;;;
17124;https://www.fragrantica.com/perfume/armaf/club-de-nuit-intense-27656.html;club-de-nuit-intense;armaf;UAE;women;412;2757;;rose, saffron, geranium;nutmeg, pepper, violet, caraway;patchouli, agarwood (oud), vanilla, amber;unknown;;rose;fresh spicy;warm spicy;patchouli;oud;downloaded_images\17124_club_de_nuit_intense.jpg;armaf;Long Lasting;Moderate;Unissex;;;
17125;https://www.fragrantica.com/perfume/armaf/club-de-nuit-woman-27655.html;club-de-nuit-woman;armaf;UAE;women;412;1663;;orange, bergamot, grapefruit, peach;rose, jasmine, litchi, geranium;patchouli, musk, vanilla, vetiver;unknown;;citrus;patchouli;woody;rose;fresh spicy;downloaded_images\17125_club_de_nuit_woman.jpg;armaf;Long Lasting;Strong;Feminino;;;
17126;https://www.fragrantica.com/perfume/armaf/de-la-marque-rouge-27658.html;de-la-marque-rouge;armaf;UAE;women;412;26;;orange blossom, rhubarb, pink pepper;tuberose, peach, jasmine, ylang-ylang;vanilla, amber, tonka bean;unknown;;white floral;vanilla;sweet;amber;tuberose;downloaded_images\17126_de_la_marque_rouge.jpg;armaf;Moderate;Enormous;Feminino;;;
17127;https://www.fragrantica.com/perfume/armaf/just-for-you-pour-homme-50334.html;just-for-you-pour-homme;armaf;UAE;men;412;124;;pink pepper, bergamot, mandarin orange;nutmeg, birch, cedar;olibanum, leather;unknown;;fresh spicy;citrus;leather;amber;woody;downloaded_images\17127_just_for_you_pour_homme.jpg;armaf;Moderate;Moderate;Masculino;;;
17139;https://www.fragrantica.com/perfume/bvlgari/bvlgari-man-wood-neroli-55688.html;bvlgari-man-wood-neroli;bvlgari;Italy;men;412;1700;20190.0;neroli, bergamot;orange blossom, virginia cedar, cypriol oil or nagarmotha;woody notes, white musk, ambergris, amber, leather;alberto morillas;;citrus;white floral;woody;fresh spicy;amber;downloaded_images\17139_bvlgari_man_wood_neroli.jpg;bvlgari;Moderate;Moderate;Masculino;;;
