id;url;Perfume;Brand;Country;Gender;RatingValue;RatingCount;releaseYear;PerfumeTop;PerfumeMiddle;PerfumeBase;Perfumer1;Perfumer2;MainAccord1;MainAccord2;MainAccord3;MainAccord4;MainAccord5;caminho_imagem_local;Perfumes-seletos
10190;https://www.fragrantica.com/perfume/maison-alhambra/anarch-82382.html;anarch;maison-alhambra;UAE;unisex;392;118;20210.0;bergamot, grass, ylang-ylang, jasmine;peach, lily, heliotrope, violet leaves, pear blossom, damask rose;ebony wood, vanilla, amber, cashmere wood, sugar, coconut, tonka bean;unknown;;vanilla;woody;white floral;powdery;sweet;downloaded_images\10190_anarch.jpg;maison-alhambra
10191;https://www.fragrantica.com/perfume/maison-alhambra/bright-peach-79937.html;bright-peach;maison-alhambra;UAE;unisex;392;924;;peach, green leaves, blood orange;patchouli;honey, cognac;unknown;;fruity;sweet;honey;woody;green;downloaded_images\10191_bright_peach.jpg;maison-alhambra
10199;https://www.fragrantica.com/perfume/natura/biografia-verao-42445.html;biografia-verao;natura;Brazil;men;392;37;20130.0;green notes, spices;geranium;woody notes;unknown;;green;woody;fresh spicy;warm spicy;aromatic;downloaded_images\10199_biografia_verao.jpg;natura
10200;https://www.fragrantica.com/perfume/natura/faces-intensa-12264.html;faces-intensa;natura;Brazil;women;392;106;20090.0;red berries, pineapple;peach, apricot, gardenia;caramel, vanille, musk;unknown;;fruity;sweet;caramel;vanilla;powdery;downloaded_images\10200_faces_intensa.jpg;natura
10201;https://www.fragrantica.com/perfume/natura/humor-perfeito-31801.html;humor-perfeito;natura;Brazil;women;392;128;20150.0;blackberry, blueberry, raspberry, pink pepper, tangerine, bergamot;violet, peony, orchid, honey, jasmine sambac;praline, musk, tonka bean, vanilla, sandalwood;ver�nica kato;;sweet;fruity;floral;powdery;violet;downloaded_images\10201_humor_perfeito.jpg;natura
10202;https://www.fragrantica.com/perfume/natura/agua-de-banho-priprioca-25961.html;agua-de-banho-priprioca;natura;Brazil;women;392;178;20040.0;bergamot, galbanum, orange;lily-of-the-valley, elemi;vetiver, musk, sandalwood;unknown;;aromatic;woody;citrus;green;powdery;downloaded_images\10202_agua_de_banho_priprioca.jpg;natura
10203;https://www.fragrantica.com/perfume/natura/sr-n-cedro-26179.html;sr-n-cedro;natura;Brazil;men;392;60;20100.0;citruses, cardamom, cinnamon, bergamot;black pepper, nutmeg;cedar, patchouli, tonka bean;ver�nica kato;;fresh spicy;warm spicy;woody;citrus;aromatic;downloaded_images\10203_sr_n_cedro.jpg;natura
10209;https://www.fragrantica.com/perfume/o-boticario/arbo-intenso-79052.html;arbo-intenso;o-boticario;Brazil;men;392;159;20230.0;lemon, green apple, grapefruit, pineapple;patchouli, laurissilva forest, cedar leaves, lavender, geranium;cedar, amber, sandalwood;nathalie lorson;;woody;patchouli;aromatic;warm spicy;fresh spicy;downloaded_images\10209_arbo_intenso.jpg;o-boticario
10210;https://www.fragrantica.com/perfume/o-boticario/coffee-woman-seduction-12799.html;coffee-woman-seduction;o-boticario;Brazil;women;392;1189;20110.0;litchi, kiwi, quince;white chocolate, cupcake, plum, jasmine;coffee, musk, woodsy notes, orris root;unknown;;sweet;fruity;coffee;tropical;chocolate;downloaded_images\10210_coffee_woman_seduction.jpg;o-boticario
10211;https://www.fragrantica.com/perfume/o-boticario/egeo-dolce-colors-64935.html;egeo-dolce-colors;o-boticario;Brazil;women;392;239;20210.0;strawberry, mandarin orange, cardamom;pink peony, freesia, jasmine sambac;raspberry, caramel, milk mousse, musk, cedar;unknown;;fruity;sweet;floral;caramel;musky;downloaded_images\10211_egeo_dolce_colors.jpg;o-boticario
